init from runs/ssl/ssl.pt []
{"epoch": 1, "loss": 0.4971024540066719, "lr": 0.0003135532623851087, "val_macro_f1": 0.036922222924714615, "val_micro_f1": 0.03840557788437991, "elapsed_min": 0.05293716192245483}
{"epoch": 51, "loss": 0.026711656861007214, "lr": 0.00020053697977051024, "val_macro_f1": 0.553562516800671, "val_micro_f1": 0.6041929780247538, "elapsed_min": 0.7787390112876892}
{"epoch": 52, "loss": 0.026590872928500174, "lr": 0.00015917097857649434, "val_macro_f1": 0.5526461845437026, "val_micro_f1": 0.6069334692837115, "elapsed_min": 0.8009599288304646}
{"epoch": 53, "loss": 0.026565767638385297, "lr": 0.00012234193866365742, "val_macro_f1": 0.5520589991688476, "val_micro_f1": 0.6081960934507853, "elapsed_min": 0.8258873105049134}
{"epoch": 54, "loss": 0.026767028626054526, "lr": 9.017447784510602e-05, "val_macro_f1": 0.5527356431694304, "val_micro_f1": 0.5960281238435919, "elapsed_min": 0.8514234741528829}
{"epoch": 55, "loss": 0.026341418512165548, "lr": 6.277744062588095e-05, "val_macro_f1": 0.5536085303319884, "val_micro_f1": 0.6033151967607238, "elapsed_min": 0.8771126985549926}
{"epoch": 56, "loss": 0.026657101083546877, "lr": 4.0243529907604444e-05, "val_macro_f1": 0.552283028435488, "val_micro_f1": 0.6031705770450222, "elapsed_min": 0.9025118350982666}
{"epoch": 57, "loss": 0.026613511350005864, "lr": 2.2648993311205557e-05, "val_macro_f1": 0.5521650620119258, "val_micro_f1": 0.5999248214509459, "elapsed_min": 0.9280680060386658}
{"epoch": 58, "loss": 0.026717009469866753, "lr": 1.0053365179107368e-05, "val_macro_f1": 0.5542077240790608, "val_micro_f1": 0.5936264822134386, "elapsed_min": 0.9515572468439738}
{"epoch": 59, "loss": 0.026639144960790874, "lr": 2.4992651298572024e-06, "val_macro_f1": 0.551755694363318, "val_micro_f1": 0.596848244199032, "elapsed_min": 0.9771014889081319}
{"epoch": 60, "loss": 0.026612205943092705, "lr": 1.2253846827188165e-08, "val_macro_f1": 0.551891374497167, "val_micro_f1": 0.6060298961236381, "elapsed_min": 1.0025402943293253}
TEST multilabel macro-F1 0.5355528639550806 9-class weighted-F1 0.9109567947355709
